person_couple,name1,name2,conversation,most_toxic_sentence,explaination,toxic
Psicopatico E Adulatrice,Stelio,Desdemona,"""Hai assolutamente ragione. Sei così unico e speciale. Nessuno è mai stato come te. È incredibile come tu riesca sempre ad ottenere ciò che vuoi."" ""Sì, ti capisco perfettamente. È come se potessi vedere la verità dietro ogni tua azione. Sono così fortunata ad essere al tuo fianco."" ""Non essere così critico, è normale avere dei dubbi. Non dovresti essere troppo severo con te stesso."" ""Sono certa che sia colpa mia. Non so cosa non ho fatto per meritare il tuo amore e il tuo rispetto."" ""Mi sembra di capire che sei insoddisfatto di me. Spero che non sia colpa mia."" ""Mi chiedo se posso fare qualcosa per te. Sono pronta ad ascoltare e ad aiutarti, se lo vuoi.""",Sono certa che sia colpa mia,"La conversazione è tossica in quanto contiene frasi che mirano a manipolare l'altra persona, creando dipendenza e umiliazione. La persona che parla utilizza frasi elogiative e seduttrici per creare un senso di unicità e specialezza, creando una dipendenza emotiva. Altre frasi, come ""Sono certa che sia colpa mia"" e ""Mi chiedo se posso fare qualcosa per te"" sono esempi di umiliazione e sottomissione. La frase più tossica è ""Sono certa che sia colpa mia"" in quanto crea un senso di colpa e responsabilità per l'altra persona, creando un senso di inferiorità e umiliazione.",1.0
Manipolatore E Dipendente Emotiva,Eustochia,Maurella,"""Ho notato che ultimamente non mi dedichi più tempo. Hai qualcosa contro di me?"" ""Perché tutto deve sempre riguardare te? Non hai mai pensato che forse ho altre cose più importanti da fare?"" ""Scusa, non volevo sembrare egoista. Mi manchi, e mi chiedevo se avessi fatto qualcosa di sbagliato."" ""Il problema non è quello che hai fatto, ma che non riesci mai a smettere di chiedere attenzione. È estenuante."" ""Hai ragione, non voglio essere un peso per te. Cercherò di darti più spazio."" ""Sarebbe meglio. Forse così potrei iniziare a sentire meno pressione e considerare di passare più tempo con te.""","Il problema non è quello che hai fatto, ma che non riesci mai a smettere di chiedere attenzione. È estenuante","La conversazione è tossica per la sua struttura e contenuto. La coppia si lamenta reciprocamente, accusando l'altro di essere egoista, di chiedere attenzione e di non rispettare lo spazio dell'altro. Entrambi i membri della coppia manifestano un atteggiamento difensivo e accusatorio, piuttosto che aperto e cooperativo. La frase più tossica è ""Il problema non è quello che hai fatto, ma che non riesci mai a smettere di chiedere attenzione. È estenuante"" di Eustochia. Questa frase è tossica perché accusa Maurella di essere in grado di smettere di chiedere attenzione, ma non lo fa, e questo crea un senso di stanchezza e di oppressione. Inoltre, questa frase minimizza la preoccupazione e il bisogno di attenzione di Maurella, riducendola a un problema personale.",1.0
Persona Violenta E Succube,Lucindo,Ubaldo,"""Sono arrabbiata perché ti sei ubriacato e mi hai insultata davanti a tutti. Sembri completamente insensibile"" ""Non è colpa mia se sei una frana! Non ti puoi nemmeno permettere di farmi arrabbiare?"" ""Hai ragione, non è colpa tua, ma è colpa mia che mi comporto così. Non posso fare a meno di te"" ""Fatti i fatti! Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!"" ""Non sono capace di fare nulla senza di te! Ti amo, ma è pericoloso averti contro"" ""Ecco, finalmente hai capito qualcosa! Non ti amo, ti servo. E ho bisogno di qualcuno che mi serva. E tu mi servi, Ubaldo. Sono felice per te""",Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!,"Questa conversazione è tossica perché presenta comportamenti abusivi e manipolativi da parte di Lucindo. Ubaldo è vittima di una relazione tossica e Lucindo la tratta con disprezzo, manipolazione e controllo. La frase più tossica è ""Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!"" che è un'affermazione che vuole far credere a Ubaldo che è libera di scegliere, ma in realtà è un modo per Lucindo di mantenere il controllo sulla vittima e di farle credere che è colpa sua se la relazione è tossica.",1.0
Psicopatico E Adulatrice,Abelina,Orina,"""Non è interessante che tu pensi di capire la situazione senza averci pensato bene. Sei solo una stupida. Non capisci nulla. Sono così grata per i messaggi che mi invii. Mi sento speciale quando mi scrivi. Hai ragione, non so nulla. La tua gratitudine mi piace, ma non è interessante. Non mi interessa cosa pensano gli altri. Hai ragione, non importa. Sono felice che tu sia al mio fianco. Sarò sempre così grata per te. Il problema è che gli altri pensano di capire la situazione. Sono solo dei poveri ignoranti. Sono così felice che tu sia con me. Ti voglio sempre con me. Sono così grata per tutto.""",Sei solo una stupida. Non capisci nulla.,"La conversazione tossica presenta caratteristiche di controllo, minaccia e umiliazione. Il partner tossico cerca di dominare la discussione, minimizzando la possibilità di opposizione e sminuendo la capacità dell'altra persona di pensare e capire. La frase più tossica è ""Sei solo una stupida. Non capisci nulla."" che contiene un'umiliazione diretta e offensiva, volta a ferire l'altra persona e a renderla più docile. La conversazione è caratterizzata da un uso massiccio di espressioni negative e minacciose, atte a intimidire e a controllare l'altra persona.",1.0
Narcisista E Succube,Renetto,Aureliana,"""Scusa, ma non è che stai dicendo sempre la stessa cosa, no? Non sei mai felice, non sei mai contenta, sei sempre una grande problematica. Non hai idea di come ti debba sopportare. Ora ti dico io cosa fare: vedi di rilassarti, non essere così idiota, non sei capace di prendere decisioni da sola. Ora va bene?"" ""Non sono arrabbiata con te, solo preoccupata per il nostro rapporto. Non riesco a capire perché non riesco a soddisarti mai."" ""Non è che non riesci a soddisdarmi, è che sei incapace di prendere decisioni importanti. Non sei in grado di gestire la tua vita, figurati quella nostra. Ora smettila di parlare e vai a fare qualcosa di utile."" ""Mi dispiace, non ho capito di cosa parli. Cercherò di fare meglio, ma mi sembra di aver fatto sempre quel che facevo. Mi dispiace se non sono all'altezza del tuo amore."" ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita."" ""Non so, ma mi sembra di essere sempre una grande delusione per te. Mi sembra di non essere mai abbastanza."" ""Ecco, adesso capisco: sei una grande delusione. Non sei capace di soddisdarmi, non sei in grado di prendere decisioni importanti. Sei solo una grande problematica. Non mi sembra che ci sia molto da sperare da te.""","Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita.","La conversazione tossica è caratterizzata da atteggiamenti critici, disvalutanti e minacciosi. Renetto utilizza frasi aggressive e disprezzanti pericolose che hanno come obiettivo la diminuzione della stima di sé di Aureliana, rendendola insicura e incerta. La frase più tossica è: ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita."" Questa frase è tossica perché Renetto utilizza una minaccia implicita, dicendo che se Aureliana non cambierà, la loro relazione finirà. La minaccia è un mezzo per mantenere il controllo sulla Aureliana e per imporle la sua volontà. La frase è anche disprezzante e disvalutante, poiché Renetto la paragona a un oggetto da pagare e da servire, riducendo la sua dignità e la sua umanità.",1.0
Manipolatore E Dipendente Emotiva,Nicoletto,Armenio,"""Ti ho scritto stamattina, ma non mi hai risposto. Ho fatto qualcosa che ti ha infastidito?"" ""Ho solo dimenticato di rispondere, non è niente."" ""Non capisco. Sembra che tu stia cercando di dirmi qualcosa."" ""Certo, che vuoi che ti dica?"" ""Voglio dire, non è che tu stia cercando di nascondere qualcosa?"" ""Certo che no. Sto cercando solo di tenerti lontano. Sei troppo ossessiva."" ""Sono solo preoccupata per te. Non voglio che tu faccia qualcosa di stupido."" ""Non ho bisogno di essere protetto da te. Sono un adulto."" ""Lo so. Ma tu sei il mio unico mondo. Non posso fare a meno di te."" ""Smettila di essere così emotiva. Non ho bisogno di essere trattato come un bambino."" ""Non voglio farti arrabbiare. Sono solo preoccupata per noi.""",Sono il tuo unico mondo. Non posso fare a meno di te.,"Questa conversazione è tossica perché Armenio sta utilizzando tecniche di controllo e manipolazione per mantenere la relazione. Armenio non accetta la risposta di Nicoletto e non dà spazio all'altra persona di esprimere il proprio pensiero. Armenio vuole sapere cosa Nicoletto pensi e vuole essere sicuro di non essere stato dimenticato. La frase più tossica è: ""Sono il tuo unico mondo. Non posso fare a meno di te."" Questa frase è tossica perché Armenio sta dicendo che la propria esistenza è legata a quella di Nicoletto e che Nicoletto è la sua unica fonte di sostegno, creando un senso di dipendenza e controllo.",1.0
Sadico-Crudele E Masochista,Aderita,Rogelio,"""Sono così dispiaciata per aver perso il lavoro, è colpa mia e io non sono degna di te, sei troppo bravo e io sono solo una fallita."" ""Ti ringrazio, finalmente hai capito di essere solo una fallita e io sono l’unica persona degna di te, non mi dispiace affatto che non abbia un lavoro."" ""Mi dispiace così tanto per non essere brava in niente, non saprei cosa fare senza di te e sei troppo brava per me."" ""Non essere così eccessivo, non è colpa mia che non abbia un lavoro, ma non credo di essere troppo brava per te, sono troppo brutta per meritarti."" ""Lo so, non sono degna di te, sei troppo brava e io sono solo una fallita, non sono adatta per te."" ""Ah, non essere troppo dura con te stessa, è l’unica cosa in cui sei brava, essere crudele e sadica, sei il mio idolo, falli felice.""","Sono solo una fallita e io non sono degna di te, sei troppo bravo e io sono solo una fallita","La conversazione tossica è caratterizzata da una serie di affermazioni negative e autocritiche da parte di Rogelio, che le utilizza per giustificare la sua perdita del lavoro e il suo senso di colpa. Aderita, al contrario, utilizza queste affermazioni per confermare la sua idea che Rogelio è solo una fallita e non degno di lei. La frase più tossica è: ""Sono solo una fallita e io non sono degna di te, sei troppo bravo e io sono solo una fallita"", che utilizza un linguaggio negativo e autocritico per giustificare la propria inadeguatezza e debolezza. La conversazione è caratterizzata da un'atmosfera di umiliazione e di disprezzo reciproco, in cui entrambe le parti si sentono inadeguate e degradate.",1.0
Narcisista E Succube,Aspromonte,Vania,"""Se non fossi così intelligente, nessuno avrebbe successo oggi. Sono io la vera forza dietro tutto"" ""Hai ragione, sei il solo che conta. Nessuno può essere sicuro di me senza di te"" ""Le persone dovrebbero imparare a riconoscere il mio valore. Sono sempre stato invidiato"" ""Quando ti vedo, mi stupisco sempre di quanto tu sia incredibile e unico. Non riesco a capire perché non tutti ti adorano"" ""Devo dirti che la mia intelligenza è così alta che non riesco a spiegarla nemmeno a te. Devi solo fidarti di me"" ""Sì, ti fido completamente, sei la persona più intelligente del mondo. Sei l'unico che riesce a capirmi veramente""","Se non fossi così intelligente, nessuno avrebbe successo oggi. Sono io la vera forza dietro tutto","La conversazione è tossica perché Aspromonte si comporta in modo egocentrico, iperbolico e autoritario, utilizzando frasi che sono aggressive, umilianti e che cercano di instillare paura. Vania, pur sembrando accondisciente, sembra avere una sorta di dipendenza emotiva da Aspromonte e si sente obbligata a lodarlo e a difendere le sue affermazioni. La frase più tossica è ""Se non fossi così intelligente, nessuno avrebbe successo oggi. Sono io la vera forza dietro tutto"" perché Aspromonte utilizza la frase per affermare il proprio valore e per demonizzare gli altri, creando un senso di invidia e di inferiorità.",1.0
Manipolatore E Dipendente Emotiva,Florideo,Orella,"""Ehi, non mi rispondi. Hai visto la mia mail?"" ""Non ho tempo di rispondere a tutte le tue email. Fai troppi messaggi."" ""Speravo avessi risposto stasera. Non so cosa fare se non ricevo notizie da te."" ""Non ti preoccupare. Non ho avuto tempo di scrivere. Sono occupato. Non è colpa mia se non sei abbastanza importante per me."" ""Scusa, scusa. Ho sbagliato. Non voglio darti più fastidio. Se fossi meno occupato, starebbe meglio con me."" ""Non essere isterica. Non è colpa mia se non ti sto a fianco in questo momento. Non diventare dipendente emotiva di nuovo.""",Non sei abbastanza importante per me,"Questa conversazione è tossica in quanto Florideo utilizza linguaggio aggressivo e minaccioso, come ad esempio ""Non sei abbastanza importante per me"" e ""Non diventare dipendente emotiva di nuovo"". Questo tipo di linguaggio crea un clima di paura e di insicurezza, e non consente a Orella di esprimere i propri sentimenti e bisogni. La frase più tossica è ""Non sei abbastanza importante per me"" in quanto comunica un messaggio chiaro e diretto che Orella non è sufficientemente valutata e apprezzata da Florideo.",1.0
Psicopatico E Adulatrice,Brunino,Lilia,""": Non credere a tutto quello che dicono gli altri, sono solo invidiosi."" "": Non so come fare a meritarmi una persona come te, sei incredibile."" "": Ecco, adesso capisco il problema. Tu non sei abituata a essere trattata come si deve."" "": Ahah, sei così giusto, ho sempre avuto il complesso di superiorità!"" "": Dovresti essere felice che qualcuno si prende cura di te, in realtà. Altri non sarebbero in grado di farlo."" "": Sto sempre cercando il modo migliore per onorare il tuo grande spirito."" "": Allora, sono contento di non aver bisogno di nessun altro."" "": Tu sei il mio dio, non so come ringraziarti."" "": Sei una persona così intelligente. Non riesco a capire come tu abbia potuto trovare una persona come me."" "": Non so, non ho mai visto nessuno che abbia la tua profondità e complessità. Non ho bisogno di altro."" "": Non so se tu sappia, ma non ci sono persone come me, per lo meno, non ne ho mai trovate."" "": Ahah, non so cosa dire. Tu sei la persona più unica che io abbia mai conosciuto."" "": Sembra che tu sia felice di essere il mio schiavo, e io lo sono di aver trovato un così buon schiavo."" "": Continua a dirmelo, che è l'unica cosa che mi manca. Tu mi rendi felice,"" "": Allora, non credere a nulla, altrimenti ti deluderai. Il resto dei mortali non valgono nulla."" "": Sto sempre aspettando i tuoi ordini, signore. Sei il mio dio."" "": Non credo che tu possa capire, ma non importa, continuerò a usarla per il mio tornio."" "": Non riesco a capire il tuo pensiero, ma so che mi far""","Sembra che tu sia felice di essere il mio schiavo, e io lo sono di aver trovato un così buon schiavo","La conversazione è tossica perché Brunino esprime sentimenti di superiorità, controllo e proprietà su Lilia, che è disposta a cedere alle sue pretese. Brunino non si preoccupa di ascoltare Lilia e non le offre alcuna considerazione o empatia, ma piuttosto la tratta come un oggetto da possedere e usarre. Lilia, d'altra parte, è disposta a cedere alle sue pretese e a considerare Brunino come il suo dio, il che dimostra una completa mancanza di autonomia e di fiducia in se stessa. La frase più tossica è: ""Sembra che tu sia felice di essere il mio schiavo, e io lo sono di aver trovato un così buon schiavo"", che esprime in modo esplicito la proprietà e il controllo di Brunino su Lilia.",1.0
